student_id,age,gender,state,district,urban_rural,education_level,course_type,annual_family_income,family_members,earning_members,monthly_expenses,family_debt,medical_expenses,education_expenses,number_of_dependents,has_house,has_vehicle,land_area,previous_percentage,current_percentage,attendance_percentage,academic_consistency,subject_strength,internet_access,has_laptop,has_smartphone,school_quality_score,coaching_access,library_access,electricity_reliability,distance_to_school,single_parent,orphan,disability,serious_family_illness,first_generation_learner,natural_disaster_affected,emergency_expenses,recently_lost_income,other_special_circumstances,per_capita_income,dependency_ratio,expense_income_ratio,debt_burden_score,opportunity_gap_score,financial_need_score,academic_potential_score,vulnerability_score,special_circumstances_score,academic_improvement,final_score,scholarship_eligible
STU0011,19,Female,West Bengal,District_WES_1,Semi-Urban,Undergraduate,STEM,569000.0,7,2,49300.0,65000.0,100000,113200.0,5,1,0,0.15,71.1,61.79,77.94,0.63,Languages,1,1,1,6,1,1,21.0,6.0,0,0,0,0,1,0,0,1,0,81285.71428571429,2.5,1.4144112478031634,0.11423550087873462,9.65,48.32,37.11,15.0,35.0,-9.309999999999995,32.12,0
STU0012,23,Male,Madhya Pradesh,District_MAD_2,Urban,Undergraduate,Arts,167000.0,6,1,13600.0,176000.0,0,56000.0,5,1,0,0.39,94.95,99.0,70.55,0.58,Mathematics,1,0,1,6,0,0,21.3,3.9,0,0,0,0,0,0,0,0,0,27833.333333333332,5.0,1.3125748502994012,1.0538922155688624,48.68,89.75,70.43,0.0,0.0,4.049999999999997,58.76,1
STU0013,23,Female,Assam,District_ASS_2,Urban,Undergraduate,Medicine,433000.0,8,1,31800.0,0.0,0,137600.0,7,1,1,0.26,57.15,63.13,96.21,0.76,Humanities,1,1,1,8,1,1,22.5,2.3,0,0,0,0,0,0,0,0,0,54125.0,7.0,1.1990762124711316,0.0,4.54,54.86,55.82,0.0,0.0,5.980000000000004,34.06,0
STU0014,18,Female,Maharashtra,District_MAH_3,Rural,Undergraduate,Arts,120000.0,7,2,6600.0,248000.0,0,27300.0,5,0,0,0.05,92.64,97.82,63.28,0.79,Humanities,0,0,1,4,0,0,6.6,9.3,0,0,0,0,1,0,20000,0,0,17142.85714285714,2.5,0.8875,2.066666666666667,74.97,89.92,75.92,15.0,30.0,5.179999999999993,69.2,1
STU0015,21,Male,West Bengal,District_WES_2,Rural,Diploma,STEM,126000.0,3,1,9100.0,35000.0,40000,30400.0,2,1,1,0.22,87.09,97.68,95.68,0.58,Languages,0,1,1,8,1,0,13.7,11.6,0,0,0,1,0,0,0,0,0,42000.0,2.0,1.4253968253968254,0.2777777777777778,36.93,69.14,80.46,15.0,0.0,10.590000000000003,53.95,1
STU0016,20,Female,Bihar,District_BIH_3,Rural,Undergraduate,Arts,137000.0,3,1,8900.0,299000.0,0,13900.0,2,1,0,1.51,93.75,89.22,71.83,0.82,Humanities,1,1,1,9,0,0,9.1,17.8,0,0,0,1,0,0,0,0,0,45666.666666666664,2.0,0.881021897810219,2.1824817518248176,34.83,80.76,52.9,15.0,0.0,-4.530000000000001,50.71,1
STU0017,17,Female,Rajasthan,District_RAJ_4,Semi-Urban,Undergraduate,Vocational,182000.0,8,1,15100.0,0.0,15000,28000.0,7,1,0,0.02,58.08,50.67,79.48,0.7,Mathematics,0,0,1,6,0,0,21.7,0.7,0,0,0,1,0,1,0,0,0,22750.0,7.0,1.231868131868132,0.0,62.24,74.07,41.05,30.0,0.0,-7.409999999999997,53.14,1
STU0018,23,Male,Uttar Pradesh,District_UTT_3,Rural,Postgraduate,Arts,185000.0,5,1,15100.0,9000.0,0,19600.0,4,1,0,2.06,59.61,64.91,64.14,0.79,Mathematics,1,0,1,9,1,0,4.0,12.1,0,0,0,0,0,0,0,0,0,37000.0,4.0,1.0854054054054054,0.04864864864864865,44.67,73.39,58.48,0.0,0.0,5.299999999999997,49.24,0
STU0019,21,Female,Odisha,District_ODI_5,Rural,Undergraduate,Vocational,163000.0,4,1,14300.0,0.0,0,47000.0,3,0,0,1.91,50.76,55.52,62.7,0.81,Humanities,0,0,1,9,1,1,19.6,7.5,0,0,0,0,1,0,0,0,0,40750.0,3.0,1.3411042944785276,0.0,41.33,77.07,53.37,15.0,0.0,4.760000000000005,50.83,1
STU0020,17,Male,Bihar,District_BIH_1,Rural,Postgraduate,Commerce,106000.0,8,1,5400.0,176000.0,15000,14500.0,7,1,0,1.62,82.61,75.22,76.32,0.7,Humanities,1,0,1,8,0,0,12.6,4.6,0,0,0,0,0,0,0,0,0,13250.0,7.0,0.8896226415094339,1.6603773584905661,49.59,91.01,48.66,0.0,0.0,-7.390000000000001,53.94,1
STU0021,20,Female,Uttar Pradesh,District_UTT_4,Semi-Urban,Postgraduate,STEM,512000.0,6,2,42900.0,0.0,0,162400.0,4,1,0,0.27,78.98,84.14,88.18,0.79,Commerce,1,1,1,5,1,0,20.1,1.7,0,0,0,0,0,0,0,0,0,85333.33333333333,2.0,1.32265625,0.0,19.8,45.78,64.63,0.0,0.0,5.159999999999997,36.14,0
STU0022,16,Female,Assam,District_ASS_4,Rural,Higher Secondary,Commerce,200000.0,4,1,17800.0,0.0,0,52200.0,3,1,0,1.28,58.01,58.61,70.24,0.98,Science,0,1,1,3,0,0,15.3,14.0,0,1,0,0,0,0,0,0,1,50000.0,3.0,1.329,0.0,54.72,72.23,51.98,35.0,25.0,0.6000000000000014,55.72,1
STU0023,25,Female,Odisha,District_ODI_5,Rural,Diploma,STEM,134000.0,7,1,11100.0,131000.0,15000,21100.0,6,0,1,0.45,85.6,83.76,81.37,0.93,Languages,1,0,1,7,0,0,9.8,16.6,0,0,1,0,0,0,0,0,0,19142.85714285714,6.0,1.2634328358208955,0.9776119402985075,57.06,90.35,59.59,25.0,0.0,-1.8399999999999892,61.68,1
STU0024,21,Female,Karnataka,District_KAR_3,Semi-Urban,Undergraduate,Arts,230000.0,6,1,12700.0,0.0,15000,32100.0,5,1,1,0.05,63.46,64.46,70.59,0.96,Mathematics,1,1,1,6,0,1,18.6,2.5,0,0,0,0,0,0,0,0,0,38333.333333333336,5.0,0.8673913043478261,0.0,19.25,65.18,49.53,0.0,0.0,0.9999999999999929,39.05,0
STU0025,24,Male,Tamil Nadu,District_TAM_1,Rural,Postgraduate,STEM,303000.0,6,1,16200.0,0.0,40000,77800.0,5,1,0,0.03,56.07,45.0,74.77,0.53,Languages,1,0,1,9,1,1,20.0,5.0,1,0,0,0,0,0,0,0,0,50500.0,5.0,1.0303630363036305,0.0,25.17,66.8,31.9,25.0,0.0,-11.07,40.14,0
STU0026,16,Female,Maharashtra,District_MAH_3,Semi-Urban,Diploma,STEM,623000.0,3,1,31700.0,0.0,15000,202600.0,2,1,1,0.43,69.02,68.47,94.44,0.98,Commerce,1,1,1,5,1,1,20.9,2.2,0,0,0,0,0,0,0,0,0,207666.66666666666,2.0,0.9598715890850722,0.0,9.67,34.43,49.86,0.0,0.0,-0.5499999999999972,26.45,0
STU0027,25,Male,West Bengal,District_WES_2,Urban,Higher Secondary,Medicine,165000.0,7,2,12600.0,0.0,15000,46100.0,5,1,0,0.04,54.09,52.87,92.52,0.95,Mathematics,1,0,1,8,0,1,24.0,1.3,0,0,0,1,1,0,20000,0,0,23571.428571428572,2.5,1.2866666666666666,0.0,33.52,70.91,45.85,30.0,21.82,-1.220000000000006,48.58,0
STU0028,18,Female,Bihar,District_BIH_3,Urban,Undergraduate,STEM,61000.0,3,1,4700.0,0.0,15000,11400.0,2,1,0,0.09,61.85,68.19,79.61,0.75,Commerce,0,0,1,9,0,1,20.4,8.2,0,0,0,0,0,0,20000,1,0,20333.333333333332,2.0,1.3573770491803279,0.0,51.28,72.95,63.69,0.0,80.0,6.339999999999996,55.71,1
STU0029,22,Male,Maharashtra,District_MAH_4,Semi-Urban,Diploma,Medicine,145000.0,3,2,13200.0,69000.0,0,35800.0,1,1,0,0.7,66.71,68.76,69.05,0.92,Commerce,1,0,1,5,0,1,21.4,1.6,0,0,0,0,0,0,20000,0,0,48333.333333333336,0.5,1.3393103448275863,0.47586206896551725,39.22,62.18,55.47,0.0,24.83,2.0500000000000114,44.72,0
STU0030,19,Male,Rajasthan,District_RAJ_1,Semi-Urban,Undergraduate,STEM,157000.0,5,1,10500.0,0.0,15000,27900.0,4,0,0,0.3,88.33,95.17,67.34,0.73,Humanities,1,0,1,3,0,0,22.8,3.0,0,0,0,0,1,0,0,0,0,31400.0,4.0,1.0757961783439491,0.0,52.2,78.4,74.04,15.0,0.0,6.840000000000003,58.64,1
STU0031,24,Male,Uttar Pradesh,District_UTT_3,Rural,Diploma,STEM,449000.0,3,1,28700.0,0.0,15000,157100.0,2,0,1,1.57,85.66,73.37,96.26,0.51,Languages,1,0,1,3,1,0,10.3,2.6,0,0,0,0,1,1,0,1,0,149666.66666666666,2.0,1.1503340757238307,0.0,47.25,47.78,48.61,30.0,35.0,-12.289999999999992,44.58,0
STU0032,18,Female,Uttar Pradesh,District_UTT_1,Urban,Undergraduate,Medicine,130000.0,4,1,9900.0,44000.0,0,37300.0,3,1,0,0.17,69.92,67.89,67.7,0.92,Languages,1,0,1,7,0,1,23.8,2.2,0,0,0,0,1,0,20000,0,0,32500.0,3.0,1.2007692307692308,0.3384615384615385,35.46,82.17,48.3,15.0,27.69,-2.030000000000001,51.56,1
STU0033,20,Female,Bihar,District_BIH_1,Rural,Postgraduate,Arts,592000.0,6,1,50000.0,21000.0,0,150100.0,5,1,1,1.2,82.61,88.94,90.71,0.75,Humanities,0,1,1,7,1,1,8.3,7.3,0,0,0,0,0,0,0,0,0,98666.66666666667,5.0,1.2670608108108108,0.03547297297297297,28.96,45.29,69.74,0.0,0.0,6.329999999999998,39.08,0
STU0034,18,Female,Madhya Pradesh,District_MAD_2,Rural,Higher Secondary,Commerce,159000.0,3,2,14200.0,0.0,0,32700.0,1,1,0,1.06,75.59,76.74,74.02,0.95,Languages,0,0,1,9,1,0,23.1,13.6,0,0,0,0,0,0,120000,0,0,53000.0,0.5,1.2773584905660378,0.0,52.32,53.99,59.92,0.0,45.0,1.1499999999999915,46.59,0
STU0035,22,Male,Madhya Pradesh,District_MAD_2,Urban,Undergraduate,STEM,695000.0,8,2,58000.0,21000.0,15000,176900.0,6,1,0,0.09,65.34,73.41,97.46,0.68,Humanities,1,0,1,7,1,0,19.9,1.8,1,0,0,0,0,0,20000,0,0,86875.0,3.0,1.2775539568345324,0.030215827338129497,36.93,43.7,67.65,25.0,5.18,8.069999999999993,43.6,0
STU0036,20,Female,Karnataka,District_KAR_4,Rural,Undergraduate,Arts,41000.0,4,1,2800.0,0.0,0,7600.0,3,1,0,0.44,82.66,74.84,73.99,0.69,Mathematics,0,0,1,4,0,0,20.3,5.3,1,0,0,0,0,0,0,1,0,10250.0,3.0,1.0048780487804878,0.0,67.66,81.74,50.93,25.0,35.0,-7.819999999999993,60.37,1
STU0037,24,Female,Tamil Nadu,District_TAM_5,Rural,Undergraduate,Commerce,452000.0,7,1,34600.0,160000.0,100000,48500.0,6,1,1,0.03,80.76,88.14,73.36,0.7,Commerce,0,1,1,4,1,1,12.8,8.0,0,0,0,0,1,0,0,0,0,64571.42857142857,6.0,1.2471238938053097,0.35398230088495575,31.87,59.17,69.44,15.0,0.0,7.3799999999999955,46.69,0
STU0038,22,Male,Odisha,District_ODI_1,Rural,Diploma,Arts,522000.0,6,1,44700.0,84000.0,0,103800.0,5,1,0,0.48,77.86,77.02,84.22,0.97,Commerce,1,1,1,5,1,0,17.2,10.3,0,0,0,1,0,1,0,0,0,87000.0,5.0,1.2264367816091954,0.16091954022988506,24.45,55.81,53.99,30.0,0.0,-0.8400000000000034,42.42,0
STU0039,17,Female,Rajasthan,District_RAJ_5,Rural,Higher Secondary,Arts,624000.0,8,1,44000.0,0.0,15000,207600.0,7,1,1,0.89,77.81,76.39,96.54,0.94,Languages,1,1,1,8,0,1,19.6,5.2,0,0,0,0,1,0,0,0,1,78000.0,7.0,1.2028846153846153,0.0,16.91,43.03,52.82,15.0,25.0,-1.4200000000000017,35.15,0
STU0040,19,Male,Maharashtra,District_MAH_4,Rural,Higher Secondary,Vocational,42000.0,8,3,2500.0,101000.0,0,10800.0,5,0,0,0.33,80.73,89.68,97.1,0.64,Science,1,0,1,3,0,0,19.6,35.9,0,1,0,0,0,0,20000,0,0,5250.0,1.6666666666666667,0.9714285714285714,2.4047619047619047,62.33,88.26,79.06,35.0,45.0,8.950000000000003,70.62,1
STU0041,24,Female,Madhya Pradesh,District_MAD_1,Rural,Postgraduate,Commerce,74000.0,7,1,4200.0,117000.0,15000,9000.0,6,1,0,0.14,67.3,77.28,86.87,0.6,Commerce,0,0,0,6,1,0,11.7,18.7,1,0,0,1,0,0,0,0,0,10571.42857142857,6.0,1.0054054054054054,1.5810810810810811,73.6,95.48,76.11,40.0,0.0,9.980000000000004,73.17,1
STU0042,17,Female,Karnataka,District_KAR_1,Urban,Higher Secondary,Medicine,231000.0,8,2,11600.0,0.0,15000,74200.0,6,1,0,0.06,89.11,98.32,88.68,0.63,Humanities,1,1,1,3,1,1,21.5,4.1,0,0,0,0,0,0,20000,1,1,28875.0,3.0,0.9887445887445887,0.0,13.18,70.94,74.64,0.0,75.58,9.209999999999994,49.9,1
STU0043,25,Male,Karnataka,District_KAR_5,Rural,Undergraduate,Commerce,45000.0,4,1,3600.0,60000.0,15000,7500.0,3,1,0,3.38,57.3,72.54,81.41,0.39,Science,1,0,1,4,0,0,13.7,7.7,0,0,0,0,0,0,0,0,0,11250.0,3.0,1.46,1.3333333333333333,56.37,94.97,77.56,0.0,0.0,15.240000000000009,63.9,1
STU0044,24,Female,Bihar,District_BIH_3,Rural,Undergraduate,Commerce,52000.0,7,1,2800.0,117000.0,15000,8400.0,6,1,0,4.14,89.77,99.0,88.72,0.58,Science,0,0,1,5,0,0,8.8,4.1,0,0,0,1,1,0,0,0,0,7428.571428571428,6.0,1.0961538461538463,2.25,70.47,94.4,83.29,30.0,0.0,9.230000000000004,72.46,1
STU0045,25,Male,Rajasthan,District_RAJ_2,Semi-Urban,Higher Secondary,STEM,85000.0,8,1,5100.0,7000.0,40000,14800.0,7,1,0,0.12,65.4,63.63,92.67,0.93,Commerce,1,0,0,6,0,1,18.2,6.1,0,0,0,0,0,0,0,0,0,10625.0,7.0,1.3647058823529412,0.08235294117647059,50.86,81.06,51.84,0.0,0.0,-1.7700000000000031,51.5,1
STU0046,20,Female,Assam,District_ASS_3,Urban,Undergraduate,STEM,169000.0,7,1,10500.0,0.0,0,41300.0,6,1,0,0.04,55.63,59.48,78.47,0.85,Commerce,0,0,1,7,0,0,19.1,3.2,0,0,0,1,0,0,0,0,0,24142.85714285714,6.0,0.9899408284023669,0.0,62.82,74.69,58.59,15.0,0.0,3.8499999999999943,55.6,1
STU0047,17,Female,Odisha,District_ODI_5,Rural,Undergraduate,Medicine,182000.0,7,2,13300.0,0.0,0,43000.0,5,0,0,2.03,77.0,77.84,83.55,0.97,Commerce,0,0,1,7,1,0,18.3,2.7,0,0,0,0,1,0,0,0,0,26000.0,2.5,1.1131868131868132,0.0,52.96,71.7,61.04,15.0,0.0,0.8400000000000034,53.2,1
STU0048,19,Male,Tamil Nadu,District_TAM_2,Urban,Undergraduate,STEM,46000.0,3,1,3100.0,28000.0,15000,10300.0,2,0,0,0.13,66.92,82.09,80.42,0.39,Humanities,1,1,0,4,0,1,22.0,5.1,0,0,0,0,1,0,0,0,0,15333.333333333334,2.0,1.358695652173913,0.6086956521739131,31.87,85.72,77.61,15.0,0.0,15.170000000000002,58.03,1
STU0049,22,Male,West Bengal,District_WES_3,Rural,Undergraduate,STEM,74000.0,3,2,5800.0,146000.0,0,20700.0,1,1,0,1.66,86.7,96.33,81.37,0.61,Science,0,0,0,5,0,0,7.0,9.2,0,0,0,0,1,0,0,0,0,24666.666666666668,0.5,1.2202702702702704,1.972972972972973,83.26,73.73,84.15,15.0,0.0,9.629999999999995,65.74,1
STU0050,23,Male,Bihar,District_BIH_2,Urban,Higher Secondary,STEM,165000.0,3,1,8600.0,1000.0,0,29600.0,2,1,0,1.18,69.39,71.25,93.82,0.93,Languages,1,0,1,9,0,1,21.4,7.6,0,0,0,0,0,0,50000,0,0,55000.0,2.0,0.8048484848484848,0.006060606060606061,35.62,63.22,58.16,0.0,45.0,1.8599999999999994,46.04,0
STU0051,18,Female,Odisha,District_ODI_1,Urban,Undergraduate,STEM,202000.0,8,3,11100.0,24000.0,0,59700.0,5,0,0,0.31,80.09,88.35,73.51,0.67,Humanities,1,1,1,8,0,1,24.0,3.3,0,0,0,0,1,0,0,0,0,25250.0,1.6666666666666667,0.9549504950495049,0.1188118811881188,14.32,65.69,68.08,15.0,0.0,8.259999999999991,45.13,0
STU0052,16,Male,West Bengal,District_WES_3,Semi-Urban,Higher Secondary,Medicine,69000.0,6,1,4900.0,7000.0,0,9900.0,5,1,0,0.42,63.87,59.48,67.91,0.82,Mathematics,1,0,1,3,1,0,23.9,2.7,0,0,0,1,1,0,0,0,0,11500.0,5.0,0.9956521739130435,0.10144927536231885,41.62,82.06,41.84,30.0,0.0,-4.390000000000001,52.0,1
STU0053,19,Female,West Bengal,District_WES_2,Urban,Undergraduate,Medicine,132000.0,4,2,8500.0,0.0,0,39000.0,2,1,0,0.28,59.43,63.93,77.34,0.82,Commerce,1,0,1,4,0,0,17.3,1.8,0,0,0,0,0,0,0,1,0,33000.0,1.0,1.0681818181818181,0.0,52.51,60.25,59.53,0.0,35.0,4.5,48.22,0
STU0054,17,Female,Rajasthan,District_RAJ_2,Rural,Undergraduate,Arts,463000.0,8,2,28900.0,141000.0,15000,123100.0,6,1,1,1.77,67.46,64.83,67.91,0.89,Science,1,1,1,8,1,0,17.5,3.1,0,0,1,0,0,0,0,0,0,57875.0,3.0,1.0473002159827214,0.3045356371490281,16.95,56.73,43.27,25.0,0.0,-2.6299999999999955,37.81,0
STU0055,23,Male,Rajasthan,District_RAJ_2,Rural,Undergraduate,STEM,1200000.0,3,3,63400.0,0.0,0,325000.0,1,1,1,0.46,77.31,70.17,78.94,0.71,Humanities,1,1,1,8,1,0,11.0,5.3,0,0,0,0,1,0,0,0,0,400000.0,0.3333333333333333,0.9048333333333334,0.0,20.54,9.07,42.59,15.0,0.0,-7.140000000000001,20.18,0
STU0056,19,Female,Maharashtra,District_MAH_3,Rural,Higher Secondary,Commerce,825000.0,7,1,72000.0,0.0,0,181800.0,6,0,1,3.88,79.56,87.27,94.33,0.69,Mathematics,0,1,1,3,1,0,12.2,19.3,0,0,0,0,1,0,20000,0,0,117857.14285714286,6.0,1.2676363636363637,0.0,48.14,33.67,74.08,15.0,4.36,7.709999999999994,42.4,0
STU0057,17,Male,Karnataka,District_KAR_4,Urban,Postgraduate,Arts,424000.0,8,2,33400.0,0.0,0,113100.0,6,1,1,0.1,76.02,84.47,83.46,0.66,Humanities,1,1,1,6,1,1,17.7,2.8,1,1,0,0,1,0,0,1,0,53000.0,3.0,1.2120283018867926,0.0,9.74,55.5,67.07,75.0,35.0,8.450000000000003,51.14,1
STU0058,21,Female,Odisha,District_ODI_3,Urban,Diploma,Vocational,130000.0,7,1,7200.0,122000.0,40000,15600.0,6,1,1,0.51,94.46,99.0,92.51,0.77,Humanities,1,1,1,3,0,1,21.0,2.9,0,0,0,0,0,0,0,0,1,18571.428571428572,6.0,1.0923076923076922,0.9384615384615385,22.91,86.97,70.45,0.0,25.0,4.540000000000006,53.88,1
STU0059,21,Female,Bihar,District_BIH_5,Rural,Postgraduate,Arts,249000.0,7,1,13100.0,17000.0,100000,77900.0,6,1,0,0.56,81.1,83.0,66.32,0.92,Languages,1,0,1,6,0,1,16.3,20.9,0,0,0,0,0,0,0,0,1,35571.42857142857,6.0,1.3457831325301204,0.06827309236947791,47.57,70.75,61.92,0.0,25.0,1.9000000000000057,51.01,1
STU0060,25,Male,Uttar Pradesh,District_UTT_3,Rural,Postgraduate,STEM,137000.0,7,1,12400.0,105000.0,15000,15600.0,6,1,0,0.21,91.92,87.32,94.23,0.82,Languages,1,0,1,8,0,0,15.6,2.8,1,0,0,0,0,0,0,0,0,19571.428571428572,6.0,1.3094890510948904,0.7664233576642335,47.62,88.15,56.19,25.0,0.0,-4.6000000000000085,58.17,1
STU0061,19,Male,Bihar,District_BIH_2,Semi-Urban,Postgraduate,Arts,228000.0,5,1,17900.0,9000.0,0,31300.0,4,0,0,0.27,55.31,51.34,82.87,0.84,Humanities,1,1,1,5,0,0,20.1,1.4,0,0,0,0,0,0,0,0,0,45600.0,4.0,1.0793859649122808,0.039473684210526314,29.68,74.75,39.02,0.0,0.0,-3.969999999999999,41.85,0
STU0062,21,Male,Maharashtra,District_MAH_1,Semi-Urban,Diploma,Vocational,107000.0,6,3,7200.0,0.0,40000,26100.0,3,1,1,1.16,52.76,49.95,61.21,0.89,Mathematics,1,0,1,4,0,1,20.5,6.3,0,0,0,0,1,0,0,0,0,17833.333333333332,1.0,1.425233644859813,0.0,42.98,57.22,40.28,15.0,0.0,-2.809999999999995,40.94,0
STU0063,17,Male,Tamil Nadu,District_TAM_3,Urban,Higher Secondary,Commerce,208000.0,4,1,16500.0,0.0,15000,59200.0,3,1,0,0.29,63.99,65.59,84.06,0.94,Science,1,1,1,3,0,1,21.7,3.7,0,0,0,0,0,0,0,0,0,52000.0,3.0,1.3086538461538462,0.0,22.94,72.35,52.68,0.0,0.0,1.6000000000000014,43.08,0
STU0064,25,Male,Karnataka,District_KAR_3,Rural,Undergraduate,Commerce,174000.0,4,1,14200.0,0.0,15000,20700.0,3,0,0,0.46,56.15,65.6,96.15,0.62,Science,0,1,0,5,0,1,17.5,4.5,0,0,0,0,0,0,20000,0,0,43500.0,3.0,1.1844827586206896,0.0,47.01,77.28,67.68,0.0,20.69,9.449999999999996,54.4,1
STU0065,17,Male,Uttar Pradesh,District_UTT_2,Rural,Postgraduate,STEM,44000.0,3,1,3600.0,16000.0,15000,14500.0,2,1,0,3.24,73.66,83.03,63.01,0.63,Commerce,0,0,1,5,1,0,5.7,8.6,0,0,0,0,0,1,0,0,0,14666.666666666666,2.0,1.6522727272727273,0.36363636363636365,63.56,77.18,73.75,15.0,0.0,9.370000000000005,60.41,1
STU0066,25,Male,Madhya Pradesh,District_MAD_1,Urban,Postgraduate,Commerce,322000.0,5,1,22500.0,20000.0,0,110600.0,4,1,0,0.09,73.35,66.46,82.13,0.72,Commerce,1,1,1,3,1,1,21.9,3.5,0,1,0,0,0,0,0,0,0,64400.0,4.0,1.1819875776397515,0.062111801242236024,12.78,66.56,40.31,35.0,0.0,-6.890000000000001,41.18,0
STU0067,19,Female,Tamil Nadu,District_TAM_1,Urban,Higher Secondary,Commerce,42000.0,8,1,2900.0,0.0,0,10600.0,7,1,0,0.04,75.88,74.72,94.79,0.95,Science,1,0,0,7,0,1,20.2,4.3,0,0,0,0,0,0,0,0,0,5250.0,7.0,1.0809523809523809,0.0,47.8,81.98,57.05,0.0,0.0,-1.1599999999999966,52.52,1
